Sample	Exon	CDS	UTR	Gene	Intron	Intergenic
trimm_UMI_P21-1_S1_ME_L001_R1_001.fastq.gzAligned.sortedByCoord.out trimm_UMI_P21-1_S1_ME_L001_R1_001.fastq.gzAligned.sortedByCoord.out 22917354 8718955 3972765 8078726 10424564 1969772
trimm_UMI_P21-2_S2_ME_L001_R1_001.fastq.gzAligned.sortedByCoord.out trimm_UMI_P21-2_S2_ME_L001_R1_001.fastq.gzAligned.sortedByCoord.out 13942914 5748441 2396607 4756795 6656536 1252145
trimm_UMI_P22-1_S3_ME_L001_R1_001.fastq.gzAligned.sortedByCoord.out trimm_UMI_P22-1_S3_ME_L001_R1_001.fastq.gzAligned.sortedByCoord.out 27650051 11354141 5137563 12723422 16505853 3744251
trimm_UMI_P22-2_S4_ME_L001_R1_001.fastq.gzAligned.sortedByCoord.out trimm_UMI_P22-2_S4_ME_L001_R1_001.fastq.gzAligned.sortedByCoord.out 27719914 10943176 5211293 12642678 16340091 3723941
trimm_UMI_P28-1_ME.fastq.gzAligned.sortedByCoord.out trimm_UMI_P28-1_ME.fastq.gzAligned.sortedByCoord.out 36358761 14586279 6837199 9765414 14641669 2932041
trimm_UMI_P28-2_ME.fastq.gzAligned.sortedByCoord.out trimm_UMI_P28-2_ME.fastq.gzAligned.sortedByCoord.out 31826756 11729345 5521520 15102847 15350136 3880048
trimm_UMI_P29-1_ME.fastq.gzAligned.sortedByCoord.out trimm_UMI_P29-1_ME.fastq.gzAligned.sortedByCoord.out 88962017 37938035 17895363 17651789 32971938 5737646
trimm_UMI_P29-2_ME.fastq.gzAligned.sortedByCoord.out trimm_UMI_P29-2_ME.fastq.gzAligned.sortedByCoord.out 29597864 12278618 5670778 8844292 13744797 3196360
trimm_UMI_P31-1_ME.fastq.gzAligned.sortedByCoord.out trimm_UMI_P31-1_ME.fastq.gzAligned.sortedByCoord.out 42480298 17190128 7459397 15341301 20433375 3694882
trimm_UMI_P31-2_ME.fastq.gzAligned.sortedByCoord.out trimm_UMI_P31-2_ME.fastq.gzAligned.sortedByCoord.out 27420807 11186030 4975497 11070602 14796856 3770601
trimm_UMI_P33-1_ME.fastq.gzAligned.sortedByCoord.out trimm_UMI_P33-1_ME.fastq.gzAligned.sortedByCoord.out 47703569 21949987 9699393 11389578 19211069 3980903
trimm_UMI_P33-2_ME.fastq.gzAligned.sortedByCoord.out trimm_UMI_P33-2_ME.fastq.gzAligned.sortedByCoord.out 57960291 25562625 12110670 10781701 20770964 3765216
trimm_UMI_P34-1_ME.fastq.gzAligned.sortedByCoord.out trimm_UMI_P34-1_ME.fastq.gzAligned.sortedByCoord.out 53551999 24572329 11031847 9932365 19872866 3380434
trimm_UMI_P34-2_ME.fastq.gzAligned.sortedByCoord.out trimm_UMI_P34-2_ME.fastq.gzAligned.sortedByCoord.out 28601673 12262499 5460539 9738574 13772323 3272565
trimm_UMI_P37-1_ME.fastq.gzAligned.sortedByCoord.out trimm_UMI_P37-1_ME.fastq.gzAligned.sortedByCoord.out 51505022 23030387 10672914 9892486 19513189 3356109
trimm_UMI_P37-2_ME.fastq.gzAligned.sortedByCoord.out trimm_UMI_P37-2_ME.fastq.gzAligned.sortedByCoord.out 29819289 13382180 5831097 6550295 12127394 2276849
trimm_UMI_P41-1_ME.fastq.gzAligned.sortedByCoord.out trimm_UMI_P41-1_ME.fastq.gzAligned.sortedByCoord.out 10343067 3954484 1754474 9081081 10298261 3538851
trimm_UMI_P41-2_ME.fastq.gzAligned.sortedByCoord.out trimm_UMI_P41-2_ME.fastq.gzAligned.sortedByCoord.out 18702978 7572287 3756612 10149841 12425630 3921793
trimm_UMI_P42-1_ME.fastq.gzAligned.sortedByCoord.out trimm_UMI_P42-1_ME.fastq.gzAligned.sortedByCoord.out 63823160 27253442 12761976 13975995 25015092 4980533
trimm_UMI_P42-2_ME.fastq.gzAligned.sortedByCoord.out trimm_UMI_P42-2_ME.fastq.gzAligned.sortedByCoord.out 59576085 25620616 11780458 13141089 23616613 4659370
trimm_UMI_P43-1_S1_ME_L001_R1_001.fastq.gzAligned.sortedByCoord.out trimm_UMI_P43-1_S1_ME_L001_R1_001.fastq.gzAligned.sortedByCoord.out 15715342 7179959 3637381 7247571 7717706 1901544
trimm_UMI_P43-2_S2_ME_L001_R1_001.fastq.gzAligned.sortedByCoord.out trimm_UMI_P43-2_S2_ME_L001_R1_001.fastq.gzAligned.sortedByCoord.out 14015074 6774303 3215522 5290925 5623814 1056690
trimm_UMI_P44-1_S3_ME_L001_R1_001.fastq.gzAligned.sortedByCoord.out trimm_UMI_P44-1_S3_ME_L001_R1_001.fastq.gzAligned.sortedByCoord.out 11162112 5410468 2663431 3324996 3518953 510327
trimm_UMI_P44-2_S4_ME_L001_R1_001.fastq.gzAligned.sortedByCoord.out trimm_UMI_P44-2_S4_ME_L001_R1_001.fastq.gzAligned.sortedByCoord.out 31966307 16303960 7673696 12226139 12712240 1797906
trimm_UMI_P52-1_S9_ME_L001_R1_001.fastq.gzAligned.sortedByCoord.out trimm_UMI_P52-1_S9_ME_L001_R1_001.fastq.gzAligned.sortedByCoord.out 30411420 12307712 6112698 9354662 9689794 1682806
trimm_UMI_P52-2_S10_ME_L001_R1_001.fastq.gzAligned.sortedByCoord.out trimm_UMI_P52-2_S10_ME_L001_R1_001.fastq.gzAligned.sortedByCoord.out 27536994 13302910 6645986 11480294 10686989 1746057
trimm_UMI_P54-1_S19_ME_L001_R1_001.fastq.gzAligned.sortedByCoord.out trimm_UMI_P54-1_S19_ME_L001_R1_001.fastq.gzAligned.sortedByCoord.out 32586916 15767093 7694236 11539796 12448914 1950361
trimm_UMI_P54-2_S20_ME_L001_R1_001.fastq.gzAligned.sortedByCoord.out trimm_UMI_P54-2_S20_ME_L001_R1_001.fastq.gzAligned.sortedByCoord.out 32816035 15717344 7874602 12334021 13080868 2337838
trimm_UMI_P56-1_S13_ME_L001_R1_001.fastq.gzAligned.sortedByCoord.out trimm_UMI_P56-1_S13_ME_L001_R1_001.fastq.gzAligned.sortedByCoord.out 29958948 14199076 6787732 10479285 11633007 2041247
trimm_UMI_P56-2_S14_ME_L001_R1_001.fastq.gzAligned.sortedByCoord.out trimm_UMI_P56-2_S14_ME_L001_R1_001.fastq.gzAligned.sortedByCoord.out 23989134 11568954 6049970 9164610 9566345 1765125
trimm_UMI_P58-1_S17_ME_L001_R1_001.fastq.gzAligned.sortedByCoord.out trimm_UMI_P58-1_S17_ME_L001_R1_001.fastq.gzAligned.sortedByCoord.out 38537827 17857364 9089458 15191231 15933558 2582848
trimm_UMI_P58-2_S18_ME_L001_R1_001.fastq.gzAligned.sortedByCoord.out trimm_UMI_P58-2_S18_ME_L001_R1_001.fastq.gzAligned.sortedByCoord.out 25872832 12793805 6430996 9189713 8956981 1440764
trimm_UMI_P64-1_S7_ME_L001_R1_001.fastq.gzAligned.sortedByCoord.out trimm_UMI_P64-1_S7_ME_L001_R1_001.fastq.gzAligned.sortedByCoord.out 34753287 16178334 6813377 15396962 19064177 4564981
trimm_UMI_P64-2_S8_ME_L001_R1_001.fastq.gzAligned.sortedByCoord.out trimm_UMI_P64-2_S8_ME_L001_R1_001.fastq.gzAligned.sortedByCoord.out 19166739 7364107 3534850 10909728 13296574 3285489
trimm_UMI_P65-1_S9_ME_L001_R1_001.fastq.gzAligned.sortedByCoord.out trimm_UMI_P65-1_S9_ME_L001_R1_001.fastq.gzAligned.sortedByCoord.out 13583695 4712841 2272767 7945538 6822019 1265785
trimm_UMI_P65-2_S10_ME_L001_R1_001.fastq.gzAligned.sortedByCoord.out trimm_UMI_P65-2_S10_ME_L001_R1_001.fastq.gzAligned.sortedByCoord.out 26401323 10123926 4757669 11822618 13589045 2870987
trimm_UMI_P67-1_S11_ME_L001_R1_001.fastq.gzAligned.sortedByCoord.out trimm_UMI_P67-1_S11_ME_L001_R1_001.fastq.gzAligned.sortedByCoord.out 37952174 13832729 6454089 15915431 17111728 3264237
trimm_UMI_P67-2_S12_ME_L001_R1_001.fastq.gzAligned.sortedByCoord.out trimm_UMI_P67-2_S12_ME_L001_R1_001.fastq.gzAligned.sortedByCoord.out 51183747 16102304 7539059 38852533 23115207 4564130
trimm_UMI_P69-1_S13_ME_L001_R1_001.fastq.gzAligned.sortedByCoord.out trimm_UMI_P69-1_S13_ME_L001_R1_001.fastq.gzAligned.sortedByCoord.out 15809680 3981616 1967916 15674898 7420494 1124481
trimm_UMI_P69-2_S14_ME_L001_R1_001.fastq.gzAligned.sortedByCoord.out trimm_UMI_P69-2_S14_ME_L001_R1_001.fastq.gzAligned.sortedByCoord.out 65740844 17346278 7975817 58761282 29097791 4610757
